# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario1.png	255	255	255
10	textures\mario_01.png	255	255	255
20	textures\misc.png	176	224	248
50	textures\enemies.png	3	26	110
30	textures\enemies-2.png	0	128	128
40	textures\special.png	255	255	255
60	textures\enemiesvip.png	255	255	255
70	textures\effects.png	255	255	255
999	textures\special2.png	255	255	255
80	textures\special3.png	255	255	255

# id	left	top	right	bottom	texture_id
[SPRITES]

#EFFECT BULLET
# flying when running right	(BIG_TAIL)
4333	110211	100
# flying when running left	(BIG_TAIL)
4334	110221	100
# falling down slownly right
43020	110310	50	11003	50	11031	50
# falling down slownly left
43021	110320	50	11007	50	11032	50
# falling down slownly right  (mario tail up) 
43022	110311	100
# falling down slownly left   (mario tail up)
43023	110321	100
# Keep jumping Higher when max running RIGHT
43024	110312	100	110311	100
# Keep jumping Higher when max running LEFT
43025	110322	100	110321	100


################### BIG FIRE  ########################

#idle big FIRE right
406	12001	100
#idle big FIRE 	left
407	12005	100

#walk right big have tail	(BIG_FIRE)
506	12001	100	12002	100	12003	100
#walk left big have tail	(BIG_FIRE)
507	12005	100	12006	100	12007	100

#sitting big left	(BIG_FIRE)
100	12012	100
#sitting big right	(BIG_FIRE)
101	12011	100
#fly big right 		(BIG_FIRE)
102	12016	100
#fly big left 		(BIG_FIRE)
103	12017	100
#stop right 		(BIG_FIRE) 
104	12021	100
#stop left		(BIG_FIRE)	 
105	12022	100
# falling right		(BIG_FIRE)
106	12003	100
# falling left		(BIG_FIRE)
107	12007	100
# attacking right	(BIG_FIRE)
108	12041	75
# attacking left	(BIG_FIRE)
109	12043	75
# running right		(BIG_FIRE)
110	120002	10	120003	10	120004	10
# running left		(BIG_FIRE)
111	120006	10	120007	10	120008	10
# flying when running right	(BIG_FIRE)
112	120211	100
# flying when running left	(BIG_FIRE)
113	120221	100
# flying attack right		(BIG_FIRE)
114	120211	100	120310	100
# flying attack left		(BIG_FIRE)
115	120221	100	120320	100

#stop right 	(SMALL)
460	10080	100
#stop left	(SMALL)
461	10081	100
#fly big right 	(SMALL)
440	10085	100
#fly big left 	(SMALL)
441	10086	100
# running right	(SMALL)
510	10040	10	10041	10
# running left	(SMALL)
511	10042	10	10043	10
# flying when running right		(SMALL)
4400	100850	100
# flying when running left		(SMALL)	
4410	100860	100




# ==== GOOMBA  =========
# walk
701	30001	100	30002	100
# die
702	30003	100

# ==== KOOPAS  =========
#walk left
801	50001	100	50002	100
#walk right
802	50011	100	50012	100'
#SHELL
803	50031	100
# shell appearance
804	50030	100
# SHELL MOVE
805	50032	100	50033	100	50034	100
# DIE
806	50035	100
# ============ KOOPAS HAVE WING ============
#walk RIGHT
807	50003	100	50004	100
#walk LEFT
808	50013	100	50014	100
#FLYING RIGHT
810	50040	100	50041	100
#FLYING LEFT
811	50042	100	50043	100

# ==== BRICK =========
601	20001	100
602	20002	100
603	20003	100

# ==== QUESTION BRICK =========
1	20011	75	20012	75	20013	75	20014	75	20011	75
2	20010	100

#FLOWER
6	80000	100	80001	100
7	80001	100
8	80002	100	80003	100
9	80003	100
10	80004	100	80005	100
11	80005	100
12	80006	100	80007	100
13	80007	100
# BULLET
15	50	200	51	200	52	200	53	200
16	53	200	52	200	51	200	50	200
# EFFECT
17	70	100	71	100	72	100	73	100
#
# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
# MARIO
1	400	401	402	403	500	501	502	503	599 	415	416	430	431	450	451	460	461	440	441	404	405	504	505	417	418	432	433	452	453	4300	4301	4302	4303	4311	4312	510	511	4321	4322	4323	4324	4331	4332	4333	4334	4400	4410	43020	43021	43022	43023	506	507	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	406	407	43024	43025
# BRICK 
2	601	602	603
# QUESTION BRICK 
22	1	2
# GOOMBA
3	701	702
#KOOPAS
4	801	802	803	804	805	806	807	808	810	811	812
#Item
5	50	51	52
# FLOWER
6	6	7	8	9	10	11	12	13
# BULLET
7	15	16
# effect
8	17

[TILEMAP]
10	textures\tilemap.png	textures\out.txt	11	11	27	208	16	16

[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas,4 = Flower, 5 = Ground, 6 = ColorBox, 7 = Pipe, 8 = QuestionBrick, 9 = WeakBreak, 10 = CloundBrick, 11 = Item, 12 = Bullet, 13 = Effects

# MARIO
0	10	0	1

# KOOPAS
3	20	388	4	2

# Bullet
#12	40	368	7

# Effect
#13	40	368	8

#GOOMBA
#2	240	400	3

# BRICK 
# --- platform (hint: I created the list using Excel!) ----
1	1504	336	2	1	1
1	1520	336	2	1	1
1	1568	400	2	1	1
1	1584	400	2	1	1
1	1584	384	2	1	1
1	1600	400	2	1	1
1	1600	384	2	1	1
1	1600	368	2	1	1
1	1664	368	2	1	1
1	1664	384	2	1	1
1	1664	400	2	1	1
1	1680	384	2	1	1
1	1680	400	2	1	1
1	1696	400	2	1	1

1	2256	368	2	1	1
1	2272	368	2	1	1

1	2256	304	2	1	1
1	2272	304	2	1	1


# Weak Brick
9	1440	128	2	1	1

9	1952	400	2	1	1
9	1968	400	2	1	1
9	1968	384	2	1	1
9	1984	400	2	1	1
9	1984	384	2	1	1
9	1984	368	2	1	1
9	2000	400	2	1	1
9	2000	384	2	1	1
9	2000	368	2	1	1
9	2016	400	2	1	1
9	2016	384	2	1	1
9	2016	368	2	1	1
9	2032	400	2	1	1
9	2032	384	2	1	1
9	2032	368	2	1	1
9	2048	400	2	1	1

9	2096	400	2	1	1
9	2096	384	2	1	1
9	2112	400	2	1	1

# Cloud Brick
10	1407	191	2	4	1 	(CLOUD BOX)
10	1487	175	2	13	1 	(CLOUD BOX)

#Flower
4	360	384	6


# Ground
5	0	416	2	40	1
5	624	400	2	28	1
5	1152	416	2	22	1
5	1536	416	2	5	1
5	1584	416	2	35	1
5	2144	416	2	6	1
5	2304	416	2	31	1

# GOOMBA
#2	240	400	3
#2	544	400	3

# ColorBox
6	240	368	2	3	3 	(PINK BOX)
6	270	336	2	3	5 	(BLUE BOX)
6	400	368	2	5	3 	(GREEN BOX)
6	464	336	2	4	5 	(PINK BOX)
6	512	304	2	4	7 	(White Box)
6	512	384	2	6	2 	(GREEN BOX)
6	1264	384	2	7	2 	(GREEN BOX)

6	1312	144	2	4	2 	(PINK BOX)

6	1296	352	2	7	4 	(PINK BOX)
6	1328	320	2	7	6 	(BLUE BOX)

6	2144	368	2	3	3 	(PINK BOX)
6	2176	272	2	3	9 	(GREEN BOX)

# Green Pipe
7	352	368	2	2	3
7	1792	384	2	2	2
7	1856	368	2	2	3

7	2256	384	2	2	2

7	2256	112	2	2	12

7	2320	384	2	2	2

# Item
#11	175	332	5	1	1	1
# Question Brick
8	175	351	22	1	1
8	191	351	22	1	1
8	223	303	22	1	1
8	239	303	22	1	1
8	415	319	22	1	1
8	655	383	22	1	1
8	703	351	22	1	1
8	1471	367	22	1	1


# --- SCENE PORTAL ----
# type	l	t	ani_set_id	r	b	scene_id
#50	300	98	0	380	150	1
